text,label
I want you so bad. So bad. I miss you.,0
I need someone here literally anyone please oh my god ,0
I wish I could turn back the time and be wiser.,0
"i want to help people, i want to do good, i want to be a good friend but sometimes, i cannot carry the weight of other people's problems when i am collapsing underneath my own because i have feelings and my own demons as well ",0
Went bra shopping yesterday and now I feel really sad. I can't find my size anymore in primary because I'm to big. Mum says it's what all the girls want but I really don't. ,0
I just feel so alone and Iâ€™m not sure why or how to fix it. -ğŸ’‹,0
I feel sad because my sis dnt want to take me with to her feature mom,0
Why am I crying over exams again ,0
I want some friends in my new area but I have no idea how to make friends!,0
"""Now that you love her everything has changed""...I loved her when we were still best friends. What changed is that you were jealo0us enough t0o think that we will change. I didnt change with you. And unkess you make me, i never will",0
I tried not to care today and I almost didn't,0
In a really dark place right now...,0
I'm not really okay but I don't know why ,0
"I'm just gonna stop looking for my ""one"" and just play video games. Its useless",0
my life is nothing. ,0
Great now my head hurts too,0
okay go ahead and ignore me,0
I just wish I could tell my mom these things,0
I get that hes busy. I dont blame him for ignoring me. There are things much more important than me. Im glad hes taking care of himself first. Im not the only mentally ill one i know how tired he is. I understand and thats what makes it so much worse that i still want him to love me.,0
I flinch when I see lightning. ,0
Don't lose sight of your goals.,1
"I want you to do me a favor tonight. When you're outside, look up at the sky. See the stars and the moon. Take it all in, and realize that in the entire universe, with every possibility, every challenge, you are still here. That has to count for something. Just think about it. Any planet, with infinite possibilities of life, and you ended up here. You're made up of the very elements forged from stars, all coming together to make you who you are. Every rock and piece of debris pushed everything into perfect place, just so you could be here, so you could have room to move and live in. When you were born, it wasn't just you floating along at your own leisurely pace. You competed with millions upon millions of other cells, all fighting to do what you accomplished. You've made it through every setback, every sickness, every problem and battle and struggle. I will always bet on you making it, because I know you can. You've made it through 100% of everything life has thrown at you, so I know that you can make it through anything that comes your way, and those are odds I'm willing to bet on",1
I hate boys as much as I love them. ğŸ˜ğŸ˜˜,1
Any girls in Chicago want to talk?,1
Thanks you guys for listening me back I love the the fact someone looking forward to my posts if not already please listen ğŸ˜˜ğŸ˜˜,1
Flowers are beautiful. I wish I had some. ğŸ’•ğŸ’•,1
"My boyfriend <3 <3 <3 <3 I can't wait to see him again, oh my gosh. I won't say today was perfect, but I had a really good time with him. I really didn't want him to leave. And I probably won't see him for at least a week.... He has exams next week, so he needs to study and he has reports to write. I should take this time to refocus myself as well. ",1
"Guys, I just want you to remember that your worth is not determined by your failures or your success ğŸ’•",1
"there are so many questions i have honestlywhat is the counterargument to the ""communism works _in theory_ because human nature"" rherotic other than ""capitalism is worse"" ? how are we sure wed be able to enforce something like that ? would it have to be totalitarian ?im not as smart as i wish i was",1
"Love is blind, so let's have a love so deep that even a blindman could see it. So who's interested ğŸ˜œ",1
Urgh when I fall for people I always get so lovey-dovey and cuddly. It is both my strengh and weakness,1
"I wonder what having a relationship is like, can't wait to experience it with someone that I can see having s potential future with, just the thought of it excites me ",1
I'm just remembering that I texted ğŸ¤“ on Thanksgiving and told him how grateful I was to have him and he told me that nobody ever says those things to him and that was the day I promised myself I would always tell him how important he is,1
Fish Mooneys makeup in Gotham is so freaking beautiful ğŸ’˜,1
aaa hehe I'm so happy with this ,1
i only like black guys ,1
"Hey guys! I realized that I haven't keyed you in for the past couple of days but that's because a lot of shit has been put on my plate in the last week and I'm too busy and tired to actually stop and feel something. As weird as that may sound lol. But I will be venting, rambling and spamming as soon as possible. I just really missed you, cutie! And I wanted to let you know that I'm okayâ¤ and I hope you are too ğŸ˜˜ I'm always here for you, love just call me, beep me, if you wanna reach me âœŒMwah!",1
G-Eazy has my heart now. â™¥,1
My cat is the greatest and I want everyone to know how much I love her,1
You get upset when your phone doesn't work and we can't be together and when our time gets cut off because it's one of the most precious things in the world to you. #noonelikeyou,1
just filled out my application for the job omg,2
I hate I procrastinate everyday now,2
"Having issues opening the app again. Really hope I can keep accessing it, last time I couldn't was a nightmare.",2
Can I just kinda leave I'm so done with chemistry,2
I feel weird and empty and sad and happy and wtf what is happening oh god,2
This weekend is stressing me out. I have to be up early every morning and I'll be in a hotel room with 5 other people. I feel like I'm going to annoy them cuz I don't know most of them very well. My friend keeps inviting people and I told her I didn't want to go but she says it'll be fun. Can we just fast forward to Sunday pls ğŸ˜,2
"May have just lost one of my best friends... for the... what is it, fourth time now? Everything feels like it's my fault.",2
Ok but can you just go the fuck to sleep? I don't need your drunken yellyness right now. I'm already feeling pretty shit.,2
Iâ€™m literally crawling my way through the semester I graduate in May and idk if I can make it and Iâ€™m terrified ,2
"I felt everything get blurry after I spoke to a classmate.. Fuck social anxiety, fuck it.... ",2
"""come with us to pick out something for the garden. now.""jfc mumi can't choose a bloody treei can barely choose what way i should wear my hair today",2
Is there some unspoken rule that headphones HAVE to stop working after only having them for a few months??? ,2
I really don't want to go to school today i have too many things to do. ,2
I don't even know what I'm doing for my birthday.,2
I really hope he's not mad at me,2
I'm also scared ive fucked up,2
"And I finally thought I'd get some sleep tonight, but now I have AP extra credit ğŸ˜“",2
"I have a math project and two extra credit papers due tomorrow, theyâ€™re all creative writing based and Iâ€™m just drawing blanks!! and Iâ€™d really like to go get a burger and get to bed early since picture day is tomorrow but at this rate itâ€™ll be late at night before I finish.",2
i literally have no idea what i was even trying to say to my friend. it just came out like gibberish,2
When will I actually learn that watching scary movies makes me paranoid an delusional as fuck like Jesus fucking Christ I'm trying to clean my room and get my mind off of it but every other second I'm looking over my shoulder making sure nothing's going to kill meAnd tbh whatever wants to kill me knows I'm typing this and he's probably getting mad,2
2nd day working in Zara. OMFG I love the store.,3
Oh my god u guys were really about s4 of pll,3
We are going to travel the world together one day. ,3
We're going out to eat!,3
What happens to a frog's car when it dies?It CROAKS then gets TOAD away..... ğŸ˜€,3
AHHHHHH! I JUST FOUND TWO NEW SONGS I LOVE! LISTEN TO THE SONGS CAR RADIO AND KITCHEN SINK IF YOU WANT PURE FUCKING HEAVEN IN YOUR EARS.,3
Seeing Star Wars tonight!,3
GUYS I SAW THE HOT GUY FROM CHURCH TODAY AND I GOT SO HAPPY I CANT EVEN EXPLAIN!!!,3
"yay we finally got the update so hey all my lovely friends of vent, this means I'm back!!! ğŸ’•",3
I have begun preparations... ,3
I get to go home today and I get my new phone today!,3
Got nominated for a blog award! Looking forward to sharing it with you guys ,3
"We are getting new tenants in our back house and they have a little girl, I've always wanted to he a big sister maybe this is my chance ;)",3
OMG OMG MUM GOT A JOB OFFER AN HOUR FROM HOME OMG ITS SO CLOSE ,3
"I'M SO EXCITED FOR SEASON 12 BC CHUCK, GARTH, DONNA, JODY, ALEX AND CLAIRE ARE GONNA BE BACK AND JDKSSKSKJDKSKS it's gonna be lit",3
Im really happy i finally dyed my hair again. Its pastel pink now,3
24 DAYS UNTIL CHRISTMAS YALL YEE MY FIRST CHRISTMAS ON VENT OML,3
"I try to really make an effort with you, but everything keeps failing and you will never ever know how you make me feel ",3
Keeping it positive no matter how negative it is! If I can do it you can do it!#cheering y'all!,3
"Tomorrow is Bhai Dooj & i'm sure 98% of my listeners don't know about this festival but stillHappy Bhaiya Dooj :)What is Bhaiya Dooj ? Bhai Dooj is festival of prayers from sister to brother, brother's protection for her sister. May this year we all celebrate it with even more love and protection for our sisters and brothers. Best wishes on this Bhai Dooj.",3
I've never been so tired that muchğŸ˜‘ğŸ˜,4
"I'm so constantly frustrated with my girlfriend and all I can do is talk about it here because if I talk to online friends, they'll tell me to dump her for another friend. If I tell online friends, they won't care. I'm not out to all of my family and it's not like they care either. It's just soo fucking frustrating.",4
When your boyfriend cheats on youğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜ŠğŸ˜Š,4
I'm so busy this weekend that I have no time to cheer up my chronically depressed best friend. All of the activities are mandatory and it makes me look like a jerk.,4
I feel like my boyfriend doesn't even wanna be together anymore.He's just been acting really different.,4
I am so mad at my computer right now I could PISS FIRE,4
If anyone knows how to work those shiny Yveltal scratch cards please let me know because they're the same as the shiny Xerneas ones where you either scratch so lightly you don't do anything or you apply a little bit of pressure and the grey covering and the code get ripped off and you just _can't read it._I was given three cards and for _each_ and have not been able to get a shiny Yveltal or Xerneas I was promised _hell yeah I'm furious._,4
Why can't everything be more simple?,4
Fucking work my ass off to plan a great weekend for just the 2 of us then you bail to get high and drunk? Are you fucking kidding me? ,4
If I'm this much of a burden then maybe I shouldn't come over all all? (: (:,4
hhh i cant take this anymore,4
"Yeah your busy, too busy to Even say hey?",4
I can't stand being treated like shit by you anymore. I just want out of this ,4
"Something that pisses me off with this class work is when they are like ""Explain why answer B is the best answer""Because it\'s the right fucking answer??? What more do you want from me",4
My coffee taste gross for some reason today ugh why me,4
I am honestly so livid I'm absolutely in love with my bestfriend and let my friend have her instead of stealing her away and selfish and bitchy as that sounds??? Anyway he left her in this random persons house while he went and did shit for AN HOUR AND She's having anxiety attacks and is afraid to just leave and I'm trying to hold in my anger and calm her down and I'm just so mad how airheaded he can be with her she is such a precious gem to this world and he's just a stupid boy sometimes and he adores her but Omgoodness I hate it I just wish he wouldn't leave her like that and expect her to be just fine and ignore her I'm just so livid omg ,4
I HATE THEM SO MUCH Thank god this is the last time i'll see them,4
Woke up at 4am...still cannot fall asleep and I have a horrid headache...grrr,4
When people ask me why I don't have v much money and it's mostly gone a few days after pay day is getting real old. You try supporting two people on a $500 paycheck with a shit ton of bills and getting paid bi-weekly. I go days without eating and it sucks but you gotta do what you gotta do. I can't get a second job cause working 40 hours a week already kills me and I only get 1-4 hours of sleep every night. If I got another job it'd kill me.,4
Like what are you talking about! You were the one who suggested it in the first place. Don't be surprised when I'm upset. And idea why I'm upset cause you always do this.,4
